id,value,description,statusCode,scenario
api_version,1.2,This is API version 1.2,200,Successful responses: OK
kind,ComputePool,This is ComputePool,400,Client error responses: Bad Request
id,iam.max_environments.per_org,This is max environments per org,401,Client error responses: Unauthorized
display_name,flink_compute_pool_0,This is flink compute pool 0,402,Client error responses: Payment Required
description,This quota defines limits,This is quota description,403,Client error responses: Forbidden
self,https://api.confluent.cloud/v2/kafka-clusters/lkc-f3a90de,This is self,404,Client error responses: Not Found
resource_name,crn://confluent.cloud/kafka=lkc-f3a90de,This is resource name,422,Client error responses: Unprocessable Entity
created_at,2006-01-02T15:04:05-07:00,This is created at,429,Client error responses: Too Many Requests
updated_at,2006-01-02T15:04:05-07:00,This is updated at,500,Server error responses: Internal Server Error
