id,value,statusCode,scenario
api_version,200,Successful responses: OK,fcpm/v2
kind,400,Client error responses: Bad Request,ComputePool
id,401,Client error responses: Unauthorized,iam.max_environments.per_org
secret,402,Client error responses: Payment Required,R15hoiDIq8Nxu/lY4mPO3DwAVIfU5W7OI+efsB607mLgHTnVW5XJGVqX2ysDx987
display_name,403,Client error responses: Forbidden,flink_compute_pool_0
description,404,Client error responses: Not Found,This quota defines limits on how much the target principals can use cluster lkc-xxxxx
self,422,Client error responses: Unprocessable Entity,https://api.confluent.cloud/v2/kafka-clusters/lkc-f3a90de
resource_name,429,Client error responses: Too Many Requests,crn://confluent.cloud/kafka=lkc-f3a90de
created_at,500,Server error responses: Internal Server Error,2006-01-02T15:04:05-07:00
